enspid	protlen
ENSP00000362289	1444
ENSP00000362291	533
ENSP00000362294	1463
ENSP00000362296	361
ENSP00000362297	1431
ENSP00000362298	568
ENSP00000362299	658
ENSP00000362300	857
ENSP00000362302	782
ENSP00000362303	1223
ENSP00000362304	1226
ENSP00000362305	555
ENSP00000362306	861
ENSP00000362307	165
ENSP00000362308	114
ENSP00000362309	653
ENSP00000362310	832
ENSP00000362311	797
ENSP00000362312	797
ENSP00000362314	120
ENSP00000362317	1275
ENSP00000362319	373
ENSP00000362321	184
ENSP00000362322	537
ENSP00000362324	262
ENSP00000362325	375
ENSP00000362326	309
ENSP00000362327	178
ENSP00000362328	332
ENSP00000362329	289
ENSP00000362330	2715
ENSP00000362332	442
ENSP00000362333	121
ENSP00000362334	201
ENSP00000362335	198
ENSP00000362336	198
ENSP00000362338	198
ENSP00000362339	198
ENSP00000362340	729
ENSP00000362342	375
ENSP00000362344	587
ENSP00000362345	373
ENSP00000362346	116
ENSP00000362347	160
ENSP00000362350	712
ENSP00000362352	372
ENSP00000362353	463
ENSP00000362354	851
ENSP00000362355	344
ENSP00000362356	412
ENSP00000362358	95.3333333333333
ENSP00000362359	747
ENSP00000362360	956
ENSP00000362361	372
ENSP00000362362	489
ENSP00000362363	486
ENSP00000362368	1290
ENSP00000362369	1291
ENSP00000362371	700
ENSP00000362372	1802
ENSP00000362373	792
ENSP00000362374	703
ENSP00000362375	216
ENSP00000362376	121
ENSP00000362378	253
ENSP00000362381	321
ENSP00000362384	647
ENSP00000362385	409
ENSP00000362386	873
ENSP00000362387	294
ENSP00000362388	400
ENSP00000362389	972.333333333333
ENSP00000362390	520
ENSP00000362391	126
ENSP00000362392	520
ENSP00000362393	520
ENSP00000362394	1459
ENSP00000362395	263
ENSP00000362396	594
ENSP00000362398	370
ENSP00000362399	603
ENSP00000362401	337
ENSP00000362403	398
ENSP00000362404	186
ENSP00000362405	1799
ENSP00000362406	265
ENSP00000362409	746
ENSP00000362410	323
ENSP00000362411	733
ENSP00000362413	417
ENSP00000362415	720
ENSP00000362417	711
ENSP00000362418	183
ENSP00000362419	723
ENSP00000362420	672
ENSP00000362421	696
ENSP00000362422	679
ENSP00000362424	691
ENSP00000362426	1067
ENSP00000362427	1142
ENSP00000362428	525
ENSP00000362429	235
ENSP00000362430	170
ENSP00000362433	134
ENSP00000362435	154
ENSP00000362437	723
ENSP00000362438	126
ENSP00000362441	2492
ENSP00000362442	622
ENSP00000362443	153.333333333333
ENSP00000362444	979
ENSP00000362445	59
ENSP00000362446	498
ENSP00000362448	266
ENSP00000362450	214
ENSP00000362455	232
ENSP00000362456	233
ENSP00000362457	523
ENSP00000362458	411
ENSP00000362459	187
ENSP00000362460	270
ENSP00000362463	184
ENSP00000362464	270
ENSP00000362465	337
ENSP00000362466	211
ENSP00000362469	477
ENSP00000362471	142
ENSP00000362472	408
ENSP00000362475	426
ENSP00000362477	281
ENSP00000362478	1167
ENSP00000362479	3631
ENSP00000362480	327
ENSP00000362481	309
ENSP00000362484	802
ENSP00000362485	1013
ENSP00000362486	426
ENSP00000362487	163.333333333333
ENSP00000362489	205
ENSP00000362492	752
ENSP00000362496	474
ENSP00000362497	267
ENSP00000362502	279.666666666667
ENSP00000362503	159
ENSP00000362504	118
ENSP00000362507	97
ENSP00000362508	534
ENSP00000362510	426
ENSP00000362512	433
ENSP00000362513	534
ENSP00000362515	317
ENSP00000362516	191
ENSP00000362517	323
ENSP00000362519	210
ENSP00000362521	464
ENSP00000362523	265
ENSP00000362524	493
ENSP00000362525	530
ENSP00000362526	371
ENSP00000362527	420
ENSP00000362529	394
ENSP00000362531	394
ENSP00000362532	326
ENSP00000362533	529
ENSP00000362535	305
ENSP00000362538	213
ENSP00000362539	204
ENSP00000362540	480
ENSP00000362542	460
ENSP00000362544	441
ENSP00000362546	1089
ENSP00000362547	1089
ENSP00000362548	232
ENSP00000362549	530
ENSP00000362550	835
ENSP00000362551	500
ENSP00000362555	732
ENSP00000362556	467
ENSP00000362557	187
ENSP00000362558	132
ENSP00000362560	204
ENSP00000362562	222
ENSP00000362563	467
ENSP00000362566	193
ENSP00000362567	1516
ENSP00000362568	311
ENSP00000362569	106
ENSP00000362570	137
ENSP00000362572	376
ENSP00000362573	402
ENSP00000362574	408
ENSP00000362575	408
ENSP00000362576	528
ENSP00000362578	485
ENSP00000362579	1035
ENSP00000362580	1046
ENSP00000362581	93
ENSP00000362582	253
ENSP00000362583	476
ENSP00000362584	410
ENSP00000362586	455
ENSP00000362588	434
ENSP00000362590	505
ENSP00000362591	93
ENSP00000362592	425
ENSP00000362595	131
ENSP00000362596	235
ENSP00000362597	522
ENSP00000362600	136
ENSP00000362601	224
ENSP00000362602	330
ENSP00000362603	204
ENSP00000362604	224
ENSP00000362608	313
ENSP00000362609	441
ENSP00000362610	475
ENSP00000362613	284
ENSP00000362616	460
ENSP00000362617	107
ENSP00000362618	200
ENSP00000362620	64
ENSP00000362621	200
ENSP00000362624	79
ENSP00000362625	428
ENSP00000362627	75
ENSP00000362629	192
ENSP00000362630	127
ENSP00000362632	192
ENSP00000362633	127
ENSP00000362634	268
ENSP00000362635	102
ENSP00000362637	87
ENSP00000362638	195
ENSP00000362639	372
ENSP00000362640	1240
ENSP00000362642	289
ENSP00000362643	1223
ENSP00000362645	154
ENSP00000362646	1181
ENSP00000362647	158
ENSP00000362648	305
ENSP00000362649	482
ENSP00000362650	629
ENSP00000362651	357
ENSP00000362652	82.3333333333333
ENSP00000362653	618
ENSP00000362655	146
ENSP00000362656	767
ENSP00000362657	158
ENSP00000362658	284
ENSP00000362659	542
ENSP00000362660	139
ENSP00000362661	156
ENSP00000362662	272
ENSP00000362663	136.666666666667
ENSP00000362664	1299
ENSP00000362665	516
ENSP00000362666	185
ENSP00000362667	1321
ENSP00000362668	536
ENSP00000362669	247.333333333333
ENSP00000362671	95.3333333333333
ENSP00000362672	253
ENSP00000362674	377
ENSP00000362677	314
ENSP00000362680	536
ENSP00000362682	652
ENSP00000362684	163
ENSP00000362685	64
ENSP00000362686	476
ENSP00000362687	737
ENSP00000362688	325
ENSP00000362689	245
ENSP00000362690	461
ENSP00000362691	286
ENSP00000362695	180
ENSP00000362698	206.333333333333
ENSP00000362702	347
ENSP00000362703	245
ENSP00000362704	200
ENSP00000362705	313
ENSP00000362707	85
ENSP00000362708	85
ENSP00000362710	273
ENSP00000362711	546
ENSP00000362712	546
ENSP00000362713	107
ENSP00000362716	108
ENSP00000362717	406
ENSP00000362718	372
ENSP00000362719	343
ENSP00000362720	466
ENSP00000362721	193
ENSP00000362722	559
ENSP00000362724	615
ENSP00000362725	146
ENSP00000362727	1009
ENSP00000362728	536
ENSP00000362729	122
ENSP00000362730	389
ENSP00000362732	953
ENSP00000362734	1285
ENSP00000362735	343.666666666667
ENSP00000362736	191
ENSP00000362737	293
ENSP00000362738	922
ENSP00000362743	295
ENSP00000362744	263
ENSP00000362746	349
ENSP00000362747	408
ENSP00000362748	2136
ENSP00000362749	172
ENSP00000362751	1069
ENSP00000362752	544
ENSP00000362756	157
ENSP00000362758	441
ENSP00000362759	1584
ENSP00000362760	441
ENSP00000362761	1127
ENSP00000362762	1585
ENSP00000362763	424
ENSP00000362767	935
ENSP00000362768	1068
ENSP00000362769	478
ENSP00000362770	369
ENSP00000362771	307
ENSP00000362772	966
ENSP00000362773	156
ENSP00000362774	1191
ENSP00000362775	522
ENSP00000362776	1604
ENSP00000362777	152
ENSP00000362778	463
ENSP00000362779	507
ENSP00000362781	709
ENSP00000362784	320
ENSP00000362788	347
ENSP00000362789	347
ENSP00000362790	360
ENSP00000362791	266
ENSP00000362792	330
ENSP00000362795	415
ENSP00000362797	368
ENSP00000362798	170
ENSP00000362799	691
ENSP00000362800	691
ENSP00000362802	490
ENSP00000362803	166
ENSP00000362804	1049
ENSP00000362805	1036
ENSP00000362806	700
ENSP00000362807	284
ENSP00000362809	389
ENSP00000362810	425
ENSP00000362813	455
ENSP00000362814	464
ENSP00000362815	164
ENSP00000362817	133
ENSP00000362819	241
ENSP00000362820	164
ENSP00000362824	1046
ENSP00000362825	127
ENSP00000362827	581
ENSP00000362828	201
ENSP00000362829	124
ENSP00000362832	158
ENSP00000362833	158
ENSP00000362834	218
ENSP00000362835	176
ENSP00000362836	419
ENSP00000362838	289
ENSP00000362839	249
ENSP00000362840	234
ENSP00000362841	207
ENSP00000362842	264
ENSP00000362843	286
ENSP00000362845	284
ENSP00000362846	1224
ENSP00000362847	1127
ENSP00000362849	895
ENSP00000362850	356
ENSP00000362852	1189
ENSP00000362854	926
ENSP00000362855	356
ENSP00000362859	348
ENSP00000362860	363
ENSP00000362863	255
ENSP00000362864	152
ENSP00000362865	1232
ENSP00000362866	355
ENSP00000362867	1259
ENSP00000362869	161
ENSP00000362870	496
ENSP00000362871	257
ENSP00000362873	172
ENSP00000362875	310
ENSP00000362878	280
ENSP00000362880	457.666666666667
ENSP00000362881	538
ENSP00000362883	451
ENSP00000362884	1436
ENSP00000362887	1069
ENSP00000362888	270
ENSP00000362889	65
ENSP00000362894	609
ENSP00000362895	1872
ENSP00000362896	297
ENSP00000362897	262
ENSP00000362900	494
ENSP00000362903	720
ENSP00000362904	864
ENSP00000362906	588
ENSP00000362909	388
ENSP00000362911	188
ENSP00000362912	207
ENSP00000362913	485
ENSP00000362914	731
ENSP00000362915	240
ENSP00000362918	579
ENSP00000362921	194.333333333333
ENSP00000362922	563
ENSP00000362923	1101
ENSP00000362924	782
ENSP00000362926	459
ENSP00000362928	547
ENSP00000362929	731
ENSP00000362930	161
ENSP00000362931	655
ENSP00000362932	105
ENSP00000362933	1861
ENSP00000362935	347
ENSP00000362936	287
ENSP00000362937	452
ENSP00000362938	421
ENSP00000362939	421
ENSP00000362942	712
ENSP00000362944	645
ENSP00000362945	702
ENSP00000362946	215
ENSP00000362947	471
ENSP00000362948	208
ENSP00000362950	145
ENSP00000362951	1007
ENSP00000362953	994
ENSP00000362956	1773
ENSP00000362957	828
ENSP00000362958	137
ENSP00000362959	21
ENSP00000362960	219
ENSP00000362962	2325
ENSP00000362963	471
ENSP00000362965	342
ENSP00000362967	152
ENSP00000362968	121
ENSP00000362970	536
ENSP00000362971	416
ENSP00000362972	452
ENSP00000362973	340
ENSP00000362974	501
ENSP00000362975	585
ENSP00000362976	330
ENSP00000362978	573
ENSP00000362979	237
ENSP00000362980	1025
ENSP00000362981	237
ENSP00000362982	266
ENSP00000362983	1804
ENSP00000362985	350
ENSP00000362987	376
ENSP00000362990	360
ENSP00000362991	395
ENSP00000362993	974
ENSP00000362994	416
ENSP00000362995	373
ENSP00000362997	268
ENSP00000362998	298
ENSP00000363001	455
ENSP00000363002	214
ENSP00000363003	580
ENSP00000363010	157
ENSP00000363011	461
ENSP00000363012	451
ENSP00000363014	992
ENSP00000363015	358
ENSP00000363016	420
ENSP00000363017	278
ENSP00000363018	217
ENSP00000363019	147
ENSP00000363021	270
ENSP00000363023	989
ENSP00000363027	473
ENSP00000363030	97
ENSP00000363031	643
ENSP00000363034	135
ENSP00000363035	260
ENSP00000363036	454
ENSP00000363037	123
ENSP00000363040	602
ENSP00000363041	108
ENSP00000363042	209
ENSP00000363043	384
ENSP00000363045	408
ENSP00000363046	416
ENSP00000363051	123
ENSP00000363052	880
ENSP00000363054	276
ENSP00000363055	277
ENSP00000363056	198.666666666667
ENSP00000363057	701
ENSP00000363060	278
ENSP00000363061	772
ENSP00000363062	772
ENSP00000363064	570
ENSP00000363065	307
ENSP00000363066	961
ENSP00000363067	54
ENSP00000363068	809
ENSP00000363071	470
ENSP00000363074	47
ENSP00000363075	320
ENSP00000363076	1684
ENSP00000363077	36
ENSP00000363079	248
ENSP00000363080	761
ENSP00000363081	266
ENSP00000363083	410
ENSP00000363084	576
ENSP00000363085	470
ENSP00000363086	283
ENSP00000363087	181
ENSP00000363088	272
ENSP00000363089	839
ENSP00000363090	349
ENSP00000363091	441
ENSP00000363092	686
ENSP00000363093	495
ENSP00000363094	497
ENSP00000363095	653
ENSP00000363096	1280
ENSP00000363097	659
ENSP00000363098	1062
ENSP00000363100	1372
ENSP00000363102	569
ENSP00000363103	179
ENSP00000363105	594
ENSP00000363107	594
ENSP00000363108	1335
ENSP00000363109	586
ENSP00000363110	1358
ENSP00000363112	548.333333333333
ENSP00000363113	586
ENSP00000363115	529
ENSP00000363116	529
ENSP00000363117	529
ENSP00000363118	165
ENSP00000363119	160
ENSP00000363123	1603
ENSP00000363124	1012
ENSP00000363128	70
ENSP00000363129	180
ENSP00000363130	118
ENSP00000363133	224
ENSP00000363134	283
ENSP00000363135	298
ENSP00000363136	330
ENSP00000363137	171
ENSP00000363138	232
ENSP00000363139	173
ENSP00000363140	240
ENSP00000363141	283
ENSP00000363142	174
ENSP00000363148	104
ENSP00000363149	335
ENSP00000363150	230.666666666667
ENSP00000363152	1280
ENSP00000363155	402
ENSP00000363156	174
ENSP00000363157	251
ENSP00000363161	343
ENSP00000363162	118
ENSP00000363163	828
ENSP00000363168	686
ENSP00000363169	172
ENSP00000363170	345
ENSP00000363172	556
ENSP00000363177	161
ENSP00000363178	172
ENSP00000363185	59
ENSP00000363186	200
ENSP00000363188	1358
ENSP00000363189	208
ENSP00000363190	79
ENSP00000363191	79
ENSP00000363192	384
ENSP00000363193	2177
ENSP00000363195	575
ENSP00000363197	134.666666666667
ENSP00000363198	397
ENSP00000363199	555
ENSP00000363200	614
ENSP00000363201	1439
ENSP00000363202	319
ENSP00000363205	457
ENSP00000363207	686
ENSP00000363208	663
ENSP00000363210	133.333333333333
ENSP00000363211	170.333333333333
ENSP00000363215	2176
ENSP00000363216	1010
ENSP00000363217	932
ENSP00000363219	714
ENSP00000363223	207
ENSP00000363225	93
ENSP00000363226	157
ENSP00000363227	93
ENSP00000363228	932
ENSP00000363229	532
ENSP00000363230	96
ENSP00000363232	513
ENSP00000363236	237
ENSP00000363239	374
ENSP00000363241	954
ENSP00000363242	593
ENSP00000363244	870
ENSP00000363246	171
ENSP00000363248	131
ENSP00000363249	519
ENSP00000363250	310
ENSP00000363251	340
ENSP00000363254	263
ENSP00000363255	1198
ENSP00000363256	253
ENSP00000363257	388
ENSP00000363259	1435
ENSP00000363260	493
ENSP00000363263	159
ENSP00000363264	117
ENSP00000363266	172
ENSP00000363267	1902
ENSP00000363268	129
ENSP00000363270	607
ENSP00000363275	261
ENSP00000363276	551.333333333333
ENSP00000363277	643
ENSP00000363278	204
ENSP00000363279	227
ENSP00000363280	461
ENSP00000363281	724
ENSP00000363283	735
ENSP00000363284	147
ENSP00000363285	539
ENSP00000363286	147
ENSP00000363287	589
ENSP00000363289	218
ENSP00000363291	427
ENSP00000363292	796
ENSP00000363294	384
ENSP00000363295	251
ENSP00000363296	912
ENSP00000363297	384
ENSP00000363298	402
ENSP00000363300	209
ENSP00000363302	171
ENSP00000363303	98
ENSP00000363304	427
ENSP00000363305	166
ENSP00000363306	157
ENSP00000363307	181
ENSP00000363308	367
ENSP00000363310	242
ENSP00000363313	522
ENSP00000363314	209
ENSP00000363315	521
ENSP00000363317	1309
ENSP00000363318	369
ENSP00000363319	168
ENSP00000363320	504
ENSP00000363322	85
ENSP00000363323	352
ENSP00000363327	188
ENSP00000363329	190
ENSP00000363330	61
ENSP00000363331	101
ENSP00000363332	246.333333333333
ENSP00000363334	487
ENSP00000363335	339
ENSP00000363337	73
ENSP00000363338	520
ENSP00000363339	520
ENSP00000363340	277
ENSP00000363344	630
ENSP00000363345	475
ENSP00000363348	126
ENSP00000363349	437
ENSP00000363350	420
ENSP00000363351	55
ENSP00000363352	278
ENSP00000363353	74
ENSP00000363354	261
ENSP00000363355	55
ENSP00000363357	226
ENSP00000363358	88
ENSP00000363360	104
ENSP00000363361	226
ENSP00000363362	738
ENSP00000363365	288
ENSP00000363369	183
ENSP00000363371	720
ENSP00000363373	552
ENSP00000363375	524
ENSP00000363376	161
ENSP00000363377	505
ENSP00000363381	722
ENSP00000363382	757
ENSP00000363384	134
ENSP00000363386	271
ENSP00000363387	341
ENSP00000363388	747
ENSP00000363389	341
ENSP00000363390	353
ENSP00000363391	437
ENSP00000363392	162
ENSP00000363394	372
ENSP00000363395	327
ENSP00000363396	323
ENSP00000363397	394
ENSP00000363398	676
ENSP00000363400	392
ENSP00000363401	488
ENSP00000363402	392
ENSP00000363405	1444
ENSP00000363409	149
ENSP00000363411	68
ENSP00000363412	153
ENSP00000363414	346
ENSP00000363416	357
ENSP00000363417	619
ENSP00000363418	292
ENSP00000363419	292
ENSP00000363420	50
ENSP00000363421	292
ENSP00000363422	50
ENSP00000363425	119
ENSP00000363426	280
ENSP00000363427	70
ENSP00000363428	537
ENSP00000363431	375
ENSP00000363432	70
ENSP00000363433	458
ENSP00000363434	556
ENSP00000363435	2671
ENSP00000363436	458
ENSP00000363439	500
ENSP00000363440	615
ENSP00000363441	421
ENSP00000363443	474
ENSP00000363444	177
ENSP00000363445	390
ENSP00000363446	52
ENSP00000363447	381
ENSP00000363448	180
ENSP00000363449	401
ENSP00000363450	260
ENSP00000363451	389
ENSP00000363452	630
ENSP00000363453	925
ENSP00000363458	308
ENSP00000363459	420
ENSP00000363460	261
ENSP00000363462	278
ENSP00000363463	664
ENSP00000363465	152.666666666667
ENSP00000363466	226
ENSP00000363472	401
ENSP00000363475	512
ENSP00000363478	157
ENSP00000363479	132
ENSP00000363480	817
ENSP00000363482	1320
ENSP00000363486	653
ENSP00000363489	501
ENSP00000363490	609
ENSP00000363491	224
ENSP00000363492	501
ENSP00000363494	178
ENSP00000363495	250
ENSP00000363496	224
ENSP00000363497	187
ENSP00000363499	129
ENSP00000363500	253
ENSP00000363501	231
ENSP00000363503	539
ENSP00000363504	129
ENSP00000363505	273
ENSP00000363506	299
ENSP00000363509	1127
ENSP00000363510	913
ENSP00000363512	674
ENSP00000363513	102
ENSP00000363514	115
ENSP00000363515	22
ENSP00000363516	241
ENSP00000363518	230
ENSP00000363520	406
ENSP00000363522	328
ENSP00000363524	1232
ENSP00000363525	169
ENSP00000363529	747
ENSP00000363530	334
ENSP00000363532	412
ENSP00000363533	518
ENSP00000363535	130
ENSP00000363536	832
ENSP00000363537	832
ENSP00000363538	126
ENSP00000363539	211
ENSP00000363540	185
ENSP00000363542	491
ENSP00000363545	2354
ENSP00000363548	119
ENSP00000363550	345
ENSP00000363551	93
ENSP00000363552	364
ENSP00000363553	364
ENSP00000363554	63
ENSP00000363556	273
ENSP00000363557	1437
ENSP00000363558	441
ENSP00000363559	245
ENSP00000363560	350
ENSP00000363561	189
ENSP00000363562	116
ENSP00000363563	116
ENSP00000363564	189
ENSP00000363565	331
ENSP00000363566	226
ENSP00000363569	458
ENSP00000363570	783
ENSP00000363571	869
ENSP00000363573	262
ENSP00000363574	245
ENSP00000363575	89
ENSP00000363576	173
ENSP00000363577	172
ENSP00000363578	140
ENSP00000363579	209.666666666667
ENSP00000363581	173
ENSP00000363582	109
ENSP00000363583	489
ENSP00000363584	191
ENSP00000363585	845
ENSP00000363587	515
ENSP00000363588	333
ENSP00000363590	542
ENSP00000363591	211
ENSP00000363592	139
ENSP00000363593	3548
ENSP00000363596	360
ENSP00000363597	222
ENSP00000363599	255
ENSP00000363601	238
ENSP00000363602	101
ENSP00000363603	466
ENSP00000363604	388
ENSP00000363605	136
ENSP00000363607	300
ENSP00000363608	110.666666666667
ENSP00000363611	77
ENSP00000363612	617
ENSP00000363613	619
ENSP00000363614	325
ENSP00000363615	541
ENSP00000363616	578
ENSP00000363617	1302
ENSP00000363619	359
ENSP00000363620	156
ENSP00000363621	348
ENSP00000363622	258
ENSP00000363624	198
ENSP00000363625	164
ENSP00000363626	180
ENSP00000363627	182
ENSP00000363629	137
ENSP00000363630	208
ENSP00000363631	108
ENSP00000363634	115
ENSP00000363635	127
ENSP00000363636	457
ENSP00000363638	231
ENSP00000363639	85
ENSP00000363640	567
ENSP00000363641	105
ENSP00000363642	1282
ENSP00000363643	365
ENSP00000363645	328
ENSP00000363647	673
ENSP00000363648	98
ENSP00000363649	948
ENSP00000363654	1103
ENSP00000363656	379
ENSP00000363661	339
ENSP00000363667	913
ENSP00000363668	740
ENSP00000363676	178
ENSP00000363679	92
ENSP00000363680	391
ENSP00000363681	389
ENSP00000363683	140
ENSP00000363685	518
ENSP00000363689	119
ENSP00000363694	900
ENSP00000363696	466
ENSP00000363699	588
ENSP00000363700	448
ENSP00000363702	530
ENSP00000363707	203
ENSP00000363708	1038
ENSP00000363709	344
ENSP00000363711	643
ENSP00000363712	455
ENSP00000363714	879
ENSP00000363715	501
ENSP00000363721	183
ENSP00000363722	135
ENSP00000363723	718
ENSP00000363725	1023
ENSP00000363726	435
ENSP00000363727	1103
ENSP00000363729	154
ENSP00000363733	566
ENSP00000363734	129
ENSP00000363735	129
ENSP00000363736	470
ENSP00000363737	302
ENSP00000363738	129
ENSP00000363739	503
ENSP00000363741	633
ENSP00000363745	636
ENSP00000363746	610
ENSP00000363747	811
ENSP00000363748	377
ENSP00000363751	193
ENSP00000363752	1076
ENSP00000363753	181
ENSP00000363754	115
ENSP00000363755	928
ENSP00000363758	946
ENSP00000363761	986
ENSP00000363763	987
ENSP00000363764	420
ENSP00000363768	245
ENSP00000363770	245
ENSP00000363771	245
ENSP00000363772	133.333333333333
ENSP00000363773	245
ENSP00000363775	495
ENSP00000363778	119
ENSP00000363779	1332
ENSP00000363780	235
ENSP00000363781	247
ENSP00000363782	1127
ENSP00000363786	175
ENSP00000363787	406
ENSP00000363792	1460
ENSP00000363793	163.666666666667
ENSP00000363794	261
ENSP00000363795	121
ENSP00000363798	163.666666666667
ENSP00000363799	415
ENSP00000363804	479
ENSP00000363805	178.333333333333
ENSP00000363807	469
ENSP00000363808	93.6666666666667
ENSP00000363809	469
ENSP00000363810	172
ENSP00000363811	252
ENSP00000363812	533
ENSP00000363817	537
ENSP00000363818	1449
ENSP00000363820	237
ENSP00000363822	920
ENSP00000363824	291
ENSP00000363825	699
ENSP00000363826	694
ENSP00000363827	4391
ENSP00000363832	1338
ENSP00000363836	341
ENSP00000363837	234.333333333333
ENSP00000363838	287
ENSP00000363839	311
ENSP00000363840	1650
ENSP00000363842	498
ENSP00000363844	1655
ENSP00000363845	1689
ENSP00000363846	1710
ENSP00000363848	145
ENSP00000363851	297
ENSP00000363852	657
ENSP00000363853	332
ENSP00000363854	333
ENSP00000363855	652
ENSP00000363856	654
ENSP00000363858	137
ENSP00000363859	1161
ENSP00000363860	221
ENSP00000363862	114.333333333333
ENSP00000363864	521
ENSP00000363865	123
ENSP00000363866	236
ENSP00000363868	2261
ENSP00000363869	399
ENSP00000363870	181.666666666667
ENSP00000363873	147
ENSP00000363874	706
ENSP00000363878	706
ENSP00000363879	616
ENSP00000363880	745
ENSP00000363881	745
ENSP00000363883	745
ENSP00000363884	288
ENSP00000363886	688
ENSP00000363889	327
ENSP00000363890	692
ENSP00000363891	1119
ENSP00000363893	694
ENSP00000363894	247
ENSP00000363895	693
ENSP00000363897	663
ENSP00000363899	247
ENSP00000363900	179
ENSP00000363901	441
ENSP00000363905	1001
ENSP00000363908	988
ENSP00000363910	304
ENSP00000363911	318
ENSP00000363913	347
ENSP00000363914	1044
ENSP00000363916	316
ENSP00000363918	344
ENSP00000363919	1197
ENSP00000363920	1353
ENSP00000363921	1356
ENSP00000363922	1296
ENSP00000363923	344
ENSP00000363924	879
ENSP00000363925	1197
ENSP00000363926	1244
ENSP00000363929	2063
ENSP00000363934	73
ENSP00000363937	675
ENSP00000363939	173
ENSP00000363940	717
ENSP00000363941	260
ENSP00000363942	220
ENSP00000363943	220
ENSP00000363944	734
ENSP00000363946	85.6666666666667
ENSP00000363947	139
ENSP00000363949	641
ENSP00000363951	188
ENSP00000363952	180
ENSP00000363953	415
ENSP00000363954	609
ENSP00000363955	644
ENSP00000363956	704
ENSP00000363958	801
ENSP00000363959	165
ENSP00000363961	86
ENSP00000363962	170
ENSP00000363963	170
ENSP00000363964	801
ENSP00000363965	524
ENSP00000363970	125
ENSP00000363971	359
ENSP00000363972	224
ENSP00000363973	524
ENSP00000363976	261
ENSP00000363979	148
ENSP00000363980	403
ENSP00000363981	403
ENSP00000363984	403
ENSP00000363985	704
ENSP00000363986	223
ENSP00000363988	364
ENSP00000363993	219
ENSP00000363995	612
ENSP00000363998	862
ENSP00000363999	158
ENSP00000364000	1499
ENSP00000364001	923
ENSP00000364003	804
ENSP00000364004	414
ENSP00000364005	325
ENSP00000364006	495
ENSP00000364008	325
ENSP00000364009	735
ENSP00000364010	478
ENSP00000364011	1030
ENSP00000364012	478
ENSP00000364013	380
ENSP00000364015	272
ENSP00000364016	276
ENSP00000364018	231
ENSP00000364020	159
ENSP00000364021	180
ENSP00000364023	803
ENSP00000364028	770
ENSP00000364032	686
ENSP00000364034	653
ENSP00000364035	532
ENSP00000364037	929
ENSP00000364041	258
ENSP00000364042	1012
ENSP00000364043	258
ENSP00000364045	157
ENSP00000364047	258
ENSP00000364050	76
ENSP00000364054	258
ENSP00000364056	101
ENSP00000364062	504
ENSP00000364063	257
ENSP00000364066	152
ENSP00000364069	247
ENSP00000364071	1305
ENSP00000364073	1591
ENSP00000364076	255
ENSP00000364077	346
ENSP00000364080	269
ENSP00000364081	261
ENSP00000364083	205
ENSP00000364084	196
ENSP00000364086	137
ENSP00000364087	255
ENSP00000364089	113
ENSP00000364090	93
ENSP00000364092	132
ENSP00000364093	110
ENSP00000364094	825
ENSP00000364097	69
ENSP00000364099	367
ENSP00000364101	115
ENSP00000364102	700
ENSP00000364104	94
ENSP00000364106	217
ENSP00000364107	111
ENSP00000364108	419
ENSP00000364109	463
ENSP00000364110	111
ENSP00000364113	94
ENSP00000364114	266
ENSP00000364115	106
ENSP00000364118	559
ENSP00000364119	333
ENSP00000364121	229
ENSP00000364122	154
ENSP00000364126	518
ENSP00000364129	426
ENSP00000364131	271
ENSP00000364132	455
ENSP00000364133	503
ENSP00000364134	388
ENSP00000364139	133
ENSP00000364140	1388
ENSP00000364141	567
ENSP00000364142	401
ENSP00000364143	515
ENSP00000364144	260
ENSP00000364145	471
ENSP00000364146	561
ENSP00000364150	581
ENSP00000364152	313
ENSP00000364155	562
ENSP00000364158	872
ENSP00000364159	584
ENSP00000364162	706
ENSP00000364163	2003
ENSP00000364164	311
ENSP00000364165	692
ENSP00000364166	225
ENSP00000364168	632
ENSP00000364169	284
ENSP00000364170	587
ENSP00000364171	339
ENSP00000364176	177
ENSP00000364177	604
ENSP00000364180	160
ENSP00000364181	1034
ENSP00000364183	160
ENSP00000364184	929
ENSP00000364188	456
ENSP00000364190	430
ENSP00000364193	606
ENSP00000364195	347
ENSP00000364196	232.333333333333
ENSP00000364198	606
ENSP00000364199	133
ENSP00000364200	521
ENSP00000364202	521
ENSP00000364203	468
ENSP00000364204	581
ENSP00000364205	860
ENSP00000364206	121
ENSP00000364207	917
ENSP00000364208	342
ENSP00000364209	606
ENSP00000364210	294
ENSP00000364211	435
ENSP00000364212	146
ENSP00000364217	404
ENSP00000364218	525
ENSP00000364219	78
ENSP00000364220	1220
ENSP00000364222	40
ENSP00000364224	1016
ENSP00000364225	406
ENSP00000364230	1220
ENSP00000364233	253
ENSP00000364235	180
ENSP00000364236	245
ENSP00000364239	442
ENSP00000364240	280
ENSP00000364243	211
ENSP00000364245	283
ENSP00000364246	145
ENSP00000364248	283
ENSP00000364249	138
ENSP00000364251	763
ENSP00000364252	144
ENSP00000364253	484
ENSP00000364255	290
ENSP00000364257	142
ENSP00000364258	159
ENSP00000364259	295
ENSP00000364260	441
ENSP00000364261	398
ENSP00000364262	206
ENSP00000364263	227
ENSP00000364264	594
ENSP00000364265	373
ENSP00000364269	580
ENSP00000364270	273
ENSP00000364271	352
ENSP00000364272	141
ENSP00000364277	961
ENSP00000364278	181
